Bad, evil, unpleasant, nasty, horrible, obnoxious
Ненависть, презирать, ненавидеть, не одобрять, не любить, не одобрять
Hassen, verachten, verabscheuen, missbilligen, nicht mögen, missbilligen

Have, hold, possess, own, contain, gain
Иметь, держать, обладать, владеть, содержать, приобретать
Haben, halten, besitzen, besitzen, enthalten, gewinnen

Help, aid, assist, support, encourage, serve
Помощь, помощь, помощь, поддержка, поощрение, служить
Hilfe, Hilfe, unterstützen, unterstützen, ermutigen, dienen

Hurt, damage, harm, injure, wound, distress
Повредить, повреждение, вред, травмировать, ранить, страдание
Verletzen, beschädigen, schaden, verletzen, verwunden, Kummer

Idea, thought, concept, conception, understanding, opinion
Идея, мысль, концепция, понимание, понимание, мнение
Idee, Gedanke, Konzept, Vorstellung, Verständnis, Meinung

Important, necessary, vital, valuable, essential, significant
Важный, необходимый, жизненно важный, ценный, существенный, значительный
Wichtig, notwendig, lebenswichtig, wertvoll, wesentlich, bedeutend

Interesting, challenging, provocative, engaging, fascinating, intriguing
Интересный, сложный, провокационный, увлекательный, захватывающий, интригующий
Interessant, herausfordernd, provokativ, fesselnd, faszinierend, faszinierend

Little, tiny, small, limited, microscopic, petite
Маленький, крошечный, маленький, ограниченный, микроскопический, маленький
Klein, winzig, klein, begrenzt, mikroskopisch, zierlich

Look, gaze, see, glance, watch, glimpse
Смотреть, взгляд, видеть, взглянуть, смотреть, увидеть
Schauen, blicken, sehen, blicken, beobachten, flüchtiger Blick

Love, like, admire, cherish, adore, worship
Любить, нравиться, восхищаться, дорожить, обожать, поклоняться
Lieben, mögen, bewundern, schätzen, verehren, anbeten

Make, create, originate, invent, form, construct
Сделать, создать, породить, изобрести, формировать, строить
Machen, erstellen, entstehen, erfinden, bilden, konstruieren

Move, creep, crawl, drag, toddle, shuffle
Двигаться, ползти, ползать, тащить, ходить неуверенно, перетасовывать
Bewegen, kriechen, kriechen, ziehen, watscheln, mischen

New, fresh, original, modern, current, recent
Новый, свежий, оригинальный, современный, текущий, недавний
Neu, frisch, originell, modern, aktuell, kürzlich

Old, ancient, aged, used, former, old-fashioned
Старый, древний, возрастной, использованный, бывший, старомодный
Alt, antik, gealtert, gebraucht, ehemalig, altmodisch

Part, portion, share, piece, section, fragment
Часть, порция, доля, кусок, раздел, фрагмент
Teil, Anteil, Anteil, Stück, Abschnitt, Fragment

Place, space, area, spot, region, location
Место, пространство, область, точка, регион, местоположение
Ort, Raum, Bereich, Fleck, Region, Lage

Put, place, set, attach, establish, assign
Положить, поместить, установить, прикрепить, установить, назначить
Legen, setzen, setzen, anbringen, etablieren, zuweisen

Right, correct, accurate, true, proper, suitable
Правильный, верный, точный, истинный, правильный, подходящий
Richtig, korrekt, genau, wahr, angemessen, geeignet

Say/Tell, inform, notify, narrate, converse, suppose
Сказать/рассказать, информировать, уведомлять, рассказывать, разговаривать, предполагать
Sagen/Erzählen, informieren, benachrichtigen, erzählen, unterhalten, vermuten

Scared, afraid, alarmed, terrified, frightened, horrified
Испуганный, напуганный, обеспокоенный, напуганный, испуганный, ужаснутый
Erschrocken, ängstlich, alarmiert, verängstigt, erschrocken, entsetzt

Take, hold, catch, seize, grasp, acquire
Взять, держать, ловить, схватить, ухватиться, приобрести
Nehmen, halten, fangen, ergreifen, erfassen, erwerben

Think, judge, deem, assume, believe, consider
Думать, судить, считать, предполагать, верить, рассматривать
Denken, beurteilen, erachten, annehmen, glauben, betrachten

